id,name,host_id,neighbourhood,latitude,longitude,room_type,price
20874153,helle gemütliche 2 Zimmer Wohnung,65514939,Berg am Laim,48.12193,11.62764,Entire home/apt,140
20875269,Oktoberfest Familienwohnung,69084659,Schwabing-West,48.16681,11.57901,Private room,300
20877798,Unterkunft im Münchner Osten 10min zum Zentrum,149917223,Ramersdorf-Perlach,48.11558,11.61799,Entire home/apt,250
20878519,Helles gemütliches Zimmer in 3er WG,115156110,Allach-Untermenzing,48.21292,11.46643,Private room,80
20878560,Gemütliche Wohnung in Laim,149925182,Laim,48.13901,11.51284,Entire home/apt,50
20878572,Wunderschönes Zimmer im Zentrum München,149924777,Maxvorstadt,48.15398,11.56271,Private room,100
20879106,Super Central Studio,30421938,Ludwigsvorstadt-Isarvorstadt,48.12887,11.57186,Entire home/apt,195
20879308,Double Bedroom (only 2 min to Oktoberfest),20636998,Ludwigsvorstadt-Isarvorstadt,48.1255,11.55361,Private room,160
20879804,Gemütliches Zimmer für 2 Personen,77655556,Berg am Laim,48.13164,11.61674,Private room,100
20879924,Cozy apartment in city center next to Oktoberfest,9329361,Ludwigsvorstadt-Isarvorstadt,48.12849,11.55243,Entire home/apt,500
20880165,priv. Appartment 20min to Oktoberfest,44661738,Milbertshofen-Am Hart,48.18001,11.58216,Entire home/apt,75
20880584,"Quiet apartment, very good transport connections",149947720,Pasing-Obermenzing,48.14175,11.47318,Private room,40
20881511,Penthouse Apt | Great Connection Airport+Downtown,24027973,Moosach,48.18154,11.50961,Private room,200
20881681,Penthouse Apt | Great connection to airport + city,63881558,Moosach,48.17931,11.51059,Private room,150
20881853,"Apartment, Zentral in Schwabing!",37881311,Schwabing-West,48.165,11.56636,Entire home/apt,127
20882304,Super Lage- close to New Fair and City,90276220,Tudering-Riem,48.13274,11.66343,Private room,30
20882335,"Cosy room in the center, close to the Isar",119153440,Au-Haidhausen,48.12449,11.58877,Private room,30
20882352,"Modern apartment, 5min to central station & center",9556981,Neuhausen-Nymphenburg,48.14675,11.54088,Private room,100
20882675,Beautiful room near to the Oktoberfest,63322109,Schwabing-Freimann,48.18234,11.60857,Private room,98
20882765,Small apartment during the oktoberfeat,26450961,Neuhausen-Nymphenburg,48.15193,11.53916,Entire home/apt,150
20882992,"Modern, clean, new. Great transport connections!",2070128,Pasing-Obermenzing,48.14906,11.46623,Entire home/apt,200
20883145,Bright and lovely private room next to Oktoberfest,74260138,Schwanthalerhöhe,48.13431,11.54526,Private room,99
20883538,Zentral gelegenes Zimmer - Glockenbachviertel,23242781,Ludwigsvorstadt-Isarvorstadt,48.12395,11.56845,Private room,110
20883687,Cosy room near Oktoberfest,43013265,Sendling-Westpark,48.12301,11.53078,Private room,100
20883949,Happy living in Giesing,149985422,Obergiesing,48.11731,11.58962,Private room,40
20884220,Bed Sofa in Sendlinger Tor (Great for Oktoberfest),43433637,Ludwigsvorstadt-Isarvorstadt,48.13077,11.56886,Private room,100
20884374,Wohnen in der Maxvorstadt,9102745,Maxvorstadt,48.15166,11.57468,Entire home/apt,99
20884828,Quiet two level in Munich,147942469,Hadern,48.11538,11.49938,Entire home/apt,120
20885163,"Gemütliches Zimmer in großem, zentralem Altbau",8984645,Ludwigsvorstadt-Isarvorstadt,48.12686,11.55808,Private room,80
20885350,Small room for one person,55448661,Schwabing-West,48.15692,11.56729,Private room,37
20885658,central & cosy Apartment with balcony,21064480,Maxvorstadt,48.14713,11.56074,Entire home/apt,150
20885864,München: separate Einliegerwohnung zum Oktoberfest,150007688,Feldmoching-Hasenbergl,48.1995,11.54721,Entire home/apt,340
20886437,Perfectly Located for Oktoberfest,143104768,Altstadt-Lehel,48.13181,11.56814,Private room,125
20886529,Privat Room in a great area.,87571849,Ludwigsvorstadt-Isarvorstadt,48.12433,11.56979,Private room,95
20891022,Oktoberfest Appartment,6177369,Bogenhausen,48.17016,11.64819,Entire home/apt,80
20891653,Exclusive spacious 2-bedroom apt.- Central Munich,75627177,Bogenhausen,48.14863,11.60659,Entire home/apt,140
20891836,2-Zimmer Whng. Direkt beim Englischen Garten,6528527,Schwabing-Freimann,48.17114,11.60391,Entire home/apt,59
20892148,Cozy central room in Munich. 15 min to the center,4919320,Berg am Laim,48.13031,11.64403,Private room,60
20892294,Calm & lovely studio apartment in Obergiesing,150069689,Obergiesing,48.11522,11.58219,Entire home/apt,65
20892762,ideal apartment for Oktoberfest,78776967,Laim,48.13667,11.50937,Entire home/apt,95
20892932,Wohnung für Oktoberfest. 2 Zimmer. 4 Personen.,150081028,Neuhausen-Nymphenburg,48.14741,11.54323,Entire home/apt,140
20893358,Bright private room in the heart of Munich,8865862,Ludwigsvorstadt-Isarvorstadt,48.1315,11.56448,Private room,99
20893989,Helle & sehr gemütliche 2 Zimmer Wohnung auf 72qm,37913740,Obergiesing,48.11043,11.5798,Entire home/apt,210
20895211,10 min. to Octoberfest: Stylish 2-Room apartment,87506146,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09325,11.50179,Entire home/apt,150
20895318,Cozy Studio near Subway perfect for Oktoberfest,8319678,Milbertshofen-Am Hart,48.17904,11.57172,Entire home/apt,130
20896145,Eckhaus mit Garten und Wohnessküche,77965038,Schwabing-Freimann,48.19849,11.62508,Private room,90
20896339,Cozy room in separate apartment incl breakfast,150117388,Hadern,48.12892,11.48721,Entire home/apt,29
20896459,Clean private appart. with AllUNeed-Family/Partner,136932496,Berg am Laim,48.13333,11.63259,Entire home/apt,160
20896687,Nice flat Thalkirchen,25197271,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.10409,11.54377,Entire home/apt,150
20896910,10min to the Oktoberfest,19283395,Bogenhausen,48.13963,11.61035,Private room,112
20897360,Cosy room in Munich. Only 20 min to Oktoberfest.,149549634,Sendling-Westpark,48.10762,11.51005,Private room,79
20898092,Gemütliches Privatzimmer in Obersendling,64715965,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09822,11.52603,Private room,55
20898407,Quiet double room close to city centre!,46218210,Schwabing-Freimann,48.17641,11.58668,Private room,150
20898735,15 mins to the Oktoberfest,150141166,Ludwigsvorstadt-Isarvorstadt,48.1285,11.56744,Entire home/apt,122
20898796,Central studio in Munich,6338962,Maxvorstadt,48.1526,11.56742,Entire home/apt,120
20898865,Super Zimmer für einen Besuch auf dem Oktoberfest,149935954,Schwabing-West,48.16396,11.57704,Private room,100
20898955,** gehobene Münchner Wohnung im Zentrum **,106807322,Ramersdorf-Perlach,48.11712,11.60033,Entire home/apt,130
20899265,Ideale Wiesnunterkunft,9532678,Au-Haidhausen,48.13716,11.60752,Private room,99
20899404,München Maxvorstadt zentral gelegen,150144875,Maxvorstadt,48.15113,11.56842,Private room,54
20899542,Cozy 2 room apartment 50m2 in university district,66536648,Maxvorstadt,48.15428,11.56738,Entire home/apt,105
20899743,Central Appartement in Munich,9310020,Schwabing-Freimann,48.15788,11.58598,Entire home/apt,150
20899776,1 Zimmer Wohnung in München Schwabing,22452768,Schwabing-Freimann,48.1675,11.59232,Entire home/apt,89
20899925,exclusive Wohnoase in Schwabing,150152329,Schwabing-West,48.15904,11.56857,Private room,89
20900111,Spac. room in 3 mins walk. dist. to Octoberfest!,60241042,Ludwigsvorstadt-Isarvorstadt,48.13033,11.55477,Private room,120
20900222,"Gemütliche Wohnung, in 10 Minuten zum Oktoberfest!",150155542,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09971,11.53111,Entire home/apt,150
20900331,Privatzimmer m bester Anbindung (v.a. zur Messe),6518319,Ramersdorf-Perlach,48.11593,11.61254,Private room,40
20901215,Nice room for one or two.,150161997,Bogenhausen,48.14156,11.61418,Private room,48
20901216,Zentral gelegenes Apartment in Schwabing,150164883,Schwabing-Freimann,48.17206,11.59581,Entire home/apt,89
20901712,Ruhiges Zimmer und schnell in der Stadt,64797502,Hadern,48.11845,11.48026,Private room,85
20902117,"Munich city center, best location and cosy place:)",150175088,Maxvorstadt,48.14975,11.5659,Entire home/apt,100
20905771,1 Zimmer Apartment gute Anbindung zum Oktoberfest,37431239,Sendling,48.11477,11.53648,Entire home/apt,100
20907146,TOP LOCATION OKTOBERFEST HOTEL ROOM (Odeonsplatz),53958378,Maxvorstadt,48.14814,11.57627,Private room,350
20907926,Central & quiet room for Oktoberfest in cosy flat,715176,Au-Haidhausen,48.12488,11.59003,Private room,120
20907969,"10 mins to Octoberfest, big room!",10811928,Schwanthalerhöhe,48.14087,11.53531,Private room,145
20907987,"Nice, Central Room in Munich",38913070,Maxvorstadt,48.15585,11.55691,Private room,30
20908317,MAXVORSTADT/Octoberfest -room in cozy flat to rent,37568186,Maxvorstadt,48.14936,11.57186,Private room,190
20908387,Room free next to Münchner Freiheit,61908889,Schwabing-Freimann,48.16694,11.58779,Private room,89
20909052,Studio apartment with view across from Oktoberfest,7054681,Schwanthalerhöhe,48.13735,11.54697,Entire home/apt,165
20909883,Sleeping Couch 30min to Oktoberfest,129758718,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.0783,11.50878,Shared room,24
20910080,10min to the Oktoberfest & friendly hosts,150257935,Untergiesing-Harlaching,48.10331,11.57835,Private room,90
20910160,Appartment  im Glockenbach near to octoberfest,150258181,Ludwigsvorstadt-Isarvorstadt,48.12789,11.57239,Entire home/apt,170
20910217,RARE OKTOBERFEST BUNGALOW! 1972 Olympic Village,149717081,Milbertshofen-Am Hart,48.17897,11.55206,Entire home/apt,112
